RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-002150,,9999,3200 NW 12 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,19
B2-001492,2012/01/06 00:00:00+00,745,SW 24 at W A,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,20
B2-000026,2012/01/01 00:00:00+00,45,401 N 84 at -,INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,21
B2-004274,2012/01/15 00:00:00+00,1203,"HOLDREGE,N 28 to N 29",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,22
B2-004787,2012/01/17 00:00:00+00,9999,8640 LEXINGTON at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,23
B2-001511,2012/01/06 00:00:00+00,9999,4917 WALKER at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,24
B2-000068,2012/01/01 00:00:00+00,55,"TETON,CAMPBELL to ROCKHURST",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,25
B2-004299,2012/01/15 00:00:00+00,1346,N 27 at KNOX,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,26
B2-004790,2012/01/17 00:00:00+00,1145,"PRINCE,DUXHALL DR to QUEENS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,27
B2-001525,2012/01/06 00:00:00+00,942,S 14 at E,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,28
B2-002166,2012/01/08 00:00:00+00,1130,S 9 at M,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,29
B2-000074,2012/01/01 00:00:00+00,45,"S 70,S WEDGEWOOD to TETON",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,30
B2-004301,2012/01/15 00:00:00+00,1404,"N 27,CLEVELAND to THERESA",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,31
B2-004796,2012/01/17 00:00:00+00,1218,"N 27,Q to R",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,32
B2-001538,2012/01/06 00:00:00+00,1028,S 13 at SOUTH,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,33
B2-004799,2012/01/17 00:00:00+00,1221,"S 27,ALPHA to CAPITOL PKWY",NON-INJ,OTHER,3,0,NO,NO,NO,NO,NO,YES,NO,34
B2-001543,2012/01/06 00:00:00+00,9999,3129 NORTH HILL at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,35
B2-002193,2012/01/08 00:00:00+00,1347,N 30 at S,INJURY H&R,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,36
B2-004304,2012/01/15 00:00:00+00,1416,"W VAN DORN,FOLSOM CONNECTOR to HOMESTEAD EXP",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,37
B2-000115,2012/01/01 00:00:00+00,350,1430 N 10 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,38
B2-004806,2012/01/17 00:00:00+00,1240,"S 16,D to E",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,39
B2-001546,2012/01/06 00:00:00+00,1110,"N 31,FAIR to POTTER",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,40
B2-002206,2012/01/08 00:00:00+00,1452,S 56 at NEBR HWY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,41
B2-004811,2012/01/17 00:00:00+00,1255,"S 28,CAPITOL PKWY to D",NON-INJ,TURNING,1,0,NO,NO,NO,NO,NO,YES,NO,42
B2-000151,2012/01/01 00:00:00+00,629,"W,N 30 to N 31",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,43
B2-001557,2012/01/06 00:00:00+00,9999,3400 N 58 at WALMART,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,44
B2-004313,2012/01/15 00:00:00+00,100,"S 25,J to L",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,45
B2-004830,2012/01/17 00:00:00+00,1405,ST MARYS at BURNHAM,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,46
B2-001558,2012/01/06 00:00:00+00,1120,S 48 at SHERMAN,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,47
B2-002221,2012/01/08 00:00:00+00,1605,"NEBR HWY,HIGH to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,48
B2-001562,2012/01/06 00:00:00+00,1155,"N 48,R to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,49
B2-004836,2012/01/17 00:00:00+00,1422,"THE KNOLLS,ANDREW to ROLLING HILLS",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,50
B2-004324,2012/01/15 00:00:00+00,1540,"SOUTH,PARK BLVD to S 1",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,51
B2-000158,,999,"MORGAN,W IRVING to W BENTON",NON-INJ H&R,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,52
B2-001576,2012/01/06 00:00:00+00,1209,"O,56 to COTNER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,53
B2-004839,2012/01/17 00:00:00+00,1438,"JANSSEN,HENRY to S 84",INJURY,RAN OFF ROAD,1,2,NO,NO,NO,NO,NO,NO,NO,54
B2-002223,2012/01/08 00:00:00+00,1620,"S 37,CARNELIAN to SWEETBRIAR",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,55
B2-001577,2012/01/06 00:00:00+00,1200,"BUTLER,N 2 to N 4",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,56
B2-004855,2012/01/17 00:00:00+00,1520,SALT CREEK RDWY at N ANTELOPE VALL,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,57
B2-000165,,999,"N 3,FAIRFIELD to HARTLEY",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,58
B2-004331,2012/01/15 00:00:00+00,1609,"N 27,FAIRFIELD to OLD DAIRY RD",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,59
B2-001583,2012/01/06 00:00:00+00,1240,N 71 at CUMING,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,60
B2-004857,2012/01/17 00:00:00+00,1525,25 at O,INJURY,RIGHT ANGLE,2,3,NO,NO,NO,NO,NO,NO,NO,61
B2-002261,2012/01/08 00:00:00+00,1845,"O,68 to 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,62
B2-001607,2012/01/06 00:00:00+00,1336,110 W FLETCHER at U-STOP,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,63
B2-004863,2012/01/17 00:00:00+00,1539,1025 W AVONE at -,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,64
B2-004336,2012/01/15 00:00:00+00,1650,"S 27,JAMESON NORTH to TIERRA",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,65
B2-000191,2011/12/31 00:00:00+00,1900,"HUNTERS RIDGE RD,ASHBROOK to S 79",NON-INJ,BACKING,1,0,NO,NO,NO,NO,NO,NO,NO,66
B2-001625,2012/12/03 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,67
B2-004866,2012/01/17 00:00:00+00,1548,S 24 at FRANKLIN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,68
B2-002277,2012/01/08 00:00:00+00,1400,"WOODS BLVD,MARILYNN to PACE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,69
B2-001637,2012/01/06 00:00:00+00,1430,"S 10,K to LINCOLN MALL",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,70
B2-004871,2012/01/17 00:00:00+00,1555,"S 56,BANCROFT to CALVERT",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,71
B2-000192,2012/01/01 00:00:00+00,1120,N 51 at KNOX,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,72
B2-004342,2012/01/15 00:00:00+00,1645,"S 9 - S 10,PEACH to ROSE",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,73
B2-001666,2012/01/04 00:00:00+00,2000,1334 S 10 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,74
B2-004878,2012/01/17 00:00:00+00,1550,"HARWOOD,S 18 to S 19",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,75
B2-002281,2012/01/08 00:00:00+00,2050,"I 80,NW 12 to HOMESTEAD EXP",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,76
B2-001666,2012/01/04 00:00:00+00,2000,", to",NON-INJ,,0,0,NO,NO,NO,NO,NO,NO,NO,77
B2-004881,2012/01/17 00:00:00+00,1620,N 30 at S,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,78
B2-004346,2012/01/15 00:00:00+00,1750,S 21 at E,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,79
B2-000208,2012/01/01 00:00:00+00,1235,N 26 at W,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,80
B2-001702,2012/01/06 00:00:00+00,1916,N 27 at HOLDREGE,INJURY H&R,TURNING,1,1,YES,NO,NO,NO,NO,YES,NO,81
B2-002288,2012/01/08 00:00:00+00,2120,"NEBR HWY,S 33 to S 40",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,82
B2-004883,2012/01/17 00:00:00+00,1630,S 8 at GARFIELD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,83
B2-001703,2012/01/06 00:00:00+00,1925,"PLUM,S 8 to S 9",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,84
B2-004959,2012/01/17 00:00:00+00,2120,"O,48 to 50",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,85
B2-000225,2012/01/01 00:00:00+00,1420,S 40 at OLD CHENEY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,86
B2-004367,2012/01/15 00:00:00+00,1924,OLD CHENEY at WARLICK,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,87
B2-001804,2012/01/07 00:00:00+00,9999,"PRESCOTT,S 52 to S 53",INJURY H&R,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,88
B2-004985,2012/01/18 00:00:00+00,45,"N 30,R to S",NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,89
B2-001900,2012/01/07 00:00:00+00,1309,"S 36,J to LAURA",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,90
B2-005000,2012/01/18 00:00:00+00,200,"S 84,WENDELL WAY to OLD CHENEY",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,91
B2-002293,2012/01/08 00:00:00+00,2100,6100 O at OLIVE GARDEN,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,92
B2-002851,2012/01/09 00:00:00+00,9999,340 VICTORY LANE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,93
B2-004399,2012/01/15 00:00:00+00,2115,S 48 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,94
B2-000255,2012/01/01 00:00:00+00,999,"N 66,ADAMS to N COTNER RAMP",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,95
B2-001915,2012/01/07 00:00:00+00,1400,2801 PINE LAKE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,96
B2-005015,2012/01/18 00:00:00+00,733,"S 9,K to L",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,97
B2-002340,2012/01/09 00:00:00+00,638,N 84 at CORNHUSKER,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,98
B2-001960,2012/01/07 00:00:00+00,1716,333 N 50 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,99
B2-002867,2012/01/10 00:00:00+00,1812,"S 40,LARKWOOD to PINE LAKE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,100
B2-005016,2012/01/18 00:00:00+00,732,SW 24 at W A,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,101
B2-002342,2012/01/09 00:00:00+00,800,"HOLDREGE,N 26 to N 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,102
B2-000331,2012/01/01 00:00:00+00,230,"S 18,L to M",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,103
B2-004402,2012/01/15 00:00:00+00,2128,S 32 at PINE LAKE,INJURY,RIGHT ANGLE,3,2,NO,NO,NO,NO,NO,NO,NO,104
B2-001965,2012/01/07 00:00:00+00,1730,"OLD CHENEY,S 56 to S 58",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,105
B2-002875,2012/01/10 00:00:00+00,1849,"VINE,N 17 to N 19",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,106
B2-005017,2012/01/18 00:00:00+00,740,"N 11,CORNHUSKER to SAUNDERS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,107
B2-002354,2012/01/09 00:00:00+00,740,"Q,N 16 to N 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,108
B2-002931,2012/01/10 00:00:00+00,9999,"CANDLETREE,BUCKINGHAM to REGENCY",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,109
B2-001981,2012/01/07 00:00:00+00,1845,N 84 at ADAMS,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,110
B2-005020,2012/01/18 00:00:00+00,740,"ELK RIDGE RD,BEAVER CREEK LN to S 51",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,111
B2-002358,2012/01/09 00:00:00+00,800,N 22 at DUDLEY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,112
B2-004432,2012/01/15 00:00:00+00,9999,101 N 14 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,113
B2-000392,2012/01/02 00:00:00+00,0,"W SAUNDERS,N MAIN to NW 7",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,114
B2-001987,2012/01/07 00:00:00+00,1909,"O,14 to CENTENNIAL MALL",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,115
B2-002996,2012/01/11 00:00:00+00,715,"NEBR HWY,S 48 to S 56",INJURY,REAR END,4,1,NO,NO,NO,NO,NO,YES,NO,116
B2-002360,2012/01/09 00:00:00+00,805,"N 84,COLLEGE PARK RD to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,117
B2-005023,2012/01/18 00:00:00+00,755,N 63 at JUDSON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,118
B2-002026,2012/01/07 00:00:00+00,2223,"S 56,SAYLOR to SOUTH",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,119
B2-002998,2012/01/11 00:00:00+00,740,S 84 at PIONEERS,INJURY,TURNING,3,1,NO,NO,NO,NO,NO,YES,NO,120
B2-002364,2012/01/09 00:00:00+00,825,"PORTER RIDGE,S 27 to S 28",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,121
B2-000403,2012/01/02 00:00:00+00,901,N 25 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,122
B2-004476,2012/01/16 00:00:00+00,347,"ALEXANDER,N 2 to N 3",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,123
B2-005025,2012/01/18 00:00:00+00,800,"NEBR HWY,PIONEERS to S 33",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,124
B2-002032,2012/01/07 00:00:00+00,2253,"S 23,A to B",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,125
B2-002999,2012/01/11 00:00:00+00,750,S 17 at F,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,126
B2-002366,2012/01/09 00:00:00+00,830,"NEBR HWY,OLD CHENEY to S 56",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,127
B2-005027,2012/01/18 00:00:00+00,801,N COTNER at ADAMS,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,128
B2-002057,2012/01/08 00:00:00+00,9999,"N COTNER/N 67,LEIGHTON to GARFIELD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,129
B2-003014,2012/01/11 00:00:00+00,855,"A,S 26 to S 27",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,130
B2-002369,2012/01/09 00:00:00+00,843,"W IRVING,NW 2 to W IRVING CR",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,131
B2-004499,2012/01/16 00:00:00+00,948,NW 12 at W CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,132
B2-000432,2012/01/02 00:00:00+00,1157,S 70 at PINE LAKE,INJURY,TURNING,3,2,NO,NO,NO,NO,NO,YES,NO,133
B2-005028,,9999,"DANIEL,S 36 to S 37",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,134
B2-002107,2012/01/08 00:00:00+00,505,"S 40,SMITH to VAN DORN",NON-INJ H&R,DRIVEWAY,1,0,NO,NO,NO,NO,NO,NO,NO,135
B2-003039,2012/01/11 00:00:00+00,1055,"P,N 8 to N 9",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,136
B2-002380,2012/01/09 00:00:00+00,925,"L,HAVERFORD to S 70",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,137
B2-005029,2012/01/18 00:00:00+00,200,29TH & LAUREL at GRAPVINE BAR,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,138
B2-003079,2012/01/11 00:00:00+00,1140,1101 S 70 at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,139
B2-002137,2012/01/08 00:00:00+00,857,"S 84,ROCKLEDGE to VAN DORN",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,140
B2-000433,2012/01/02 00:00:00+00,1155,"P,N 11 to N 12",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,141
B2-004509,2012/01/16 00:00:00+00,1040,"N 27,ORCHARD to Y",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,142
B2-002382,2012/01/09 00:00:00+00,928,"N 1,IRVING to SUPERIOR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,143
B2-003085,2011/12/22 00:00:00+00,9999,"S 13,K to LINCOLN MALL",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,YES,NO,144
B2-005037,2012/01/18 00:00:00+00,854,"HOLDREGE,N 60 to N 61",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,145
B2-002143,2012/01/08 00:00:00+00,905,"N 29,PEAR to W",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,146
B2-002391,2012/01/09 00:00:00+00,30,UNKNOWN at -,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,147
B2-003088,2012/01/11 00:00:00+00,1325,"A,CAPITOL PKWY to CHAUTAUQUA",INJURY,REAR END,2,3,NO,NO,NO,NO,NO,YES,NO,148
B2-005045,2012/01/18 00:00:00+00,911,"D,ELMWOOD to S 32",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,149
B2-000475,2012/01/02 00:00:00+00,1526,"S 40,FRAN to LASALLE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,150
B2-004533,2012/01/14 00:00:00+00,1545,"N 27,FAIRFIELD to KNOX",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,151
B2-002394,2012/01/09 00:00:00+00,1000,"O,26 to 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,152
B2-003094,2012/01/11 00:00:00+00,1403,"SOUTH,S 16 to S 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,153
B2-005052,2012/01/18 00:00:00+00,925,S 38 at SMITH,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,154
B2-002396,2012/01/09 00:00:00+00,1035,"S 17,M to N",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,155
B2-003119,,1455,S 14 at GARRET LN,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,156
B2-004534,2012/01/16 00:00:00+00,1211,"N 27,APPLE to Y",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,157
B2-005065,2012/01/18 00:00:00+00,948,"K,S 13 to S 14",INJURY,TURNING,1,1,YES,NO,NO,NO,NO,NO,NO,158
B2-000489,2012/01/02 00:00:00+00,1608,48 at O,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,159
B2-002447,2012/01/09 00:00:00+00,1314,"PRESCOTT,S 47 to S 48",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,160
B2-003132,2012/01/11 00:00:00+00,1600,"S COTNER,A to ALDRICH",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,161
B2-005068,2012/01/18 00:00:00+00,1103,"N 35,APPLE to X",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,162
B2-002475,2012/01/09 00:00:00+00,1442,"NEBR HWY,EIGER DR to S 84",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,163
B2-005077,2012/01/18 00:00:00+00,9999,"N 40,DUDLEY to STARR",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,164
B2-002498,2012/01/09 00:00:00+00,1550,"OLD CHENEY,CROSS CREEK to S 77",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,165
B2-003135,2012/01/11 00:00:00+00,1621,"HOLDREGE,GRACE to N 33",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,166
B2-005091,2012/01/18 00:00:00+00,1305,"N 10,P to Q",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,167
B2-000503,2012/01/02 00:00:00+00,1653,N 70 at HAVELOCK,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,168
B2-003152,2012/01/11 00:00:00+00,1705,"N 32 & N 33,HOLDREGE to STARR",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,169
B2-004543,2012/01/16 00:00:00+00,1245,"S 70,SHAMROCK to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,170
B2-005161,2012/01/18 00:00:00+00,1704,6900 O at LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,171
B2-002529,2012/01/09 00:00:00+00,1730,S 40 at SWEETBRIAR,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,172
B2-005097,2012/01/18 00:00:00+00,1336,S 11 at ROSE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,173
B2-002534,2012/01/09 00:00:00+00,1745,"O,70 to WEDGEWOOD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,174
B2-003205,2012/01/11 00:00:00+00,2124,"BRIARPARK,HALLCLIFFE RD to RENTWORTH DR",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,175
